bowler,batting_team,runs_conceded,wickets,balls,overs,economy,average,strike_rate
A Symonds,Chennai Super Kings,70,4,67,11.166666666666666,6.268656716417911,17.5,16.75
A Symonds,Delhi Capitals,126,5,98,16.333333333333332,7.714285714285714,25.2,19.6
A Symonds,Kolkata Knight Riders,100,3,89,14.833333333333334,6.741573033707865,33.333333333333336,29.666666666666668
A Symonds,Mumbai Indians,72,0,50,8.333333333333334,8.639999999999999,72.0,50.0
A Symonds,Other,7,0,6,1.0,7.0,7.0,6.0
A Symonds,Punjab Kings,79,3,62,10.333333333333334,7.64516129032258,26.333333333333332,20.666666666666668
A Symonds,Rajasthan Royals,103,0,65,10.833333333333334,9.507692307692308,103.0,65.0
A Symonds,Royal Challengers Bengaluru,117,5,103,17.166666666666668,6.815533980582524,23.4,20.6
A Uniyal,Delhi Capitals,25,0,12,2.0,12.5,25.0,12.0
A Uniyal,Mumbai Indians,41,2,26,4.333333333333333,9.461538461538462,20.5,13.0
A Zampa,Chennai Super Kings,65,4,43,7.166666666666667,9.069767441860465,16.25,10.75
A Zampa,Delhi Capitals,95,5,73,12.166666666666666,7.808219178082192,19.0,14.6
A Zampa,Gujarat Titans,72,1,42,7.0,10.285714285714286,72.0,42.0
A Zampa,Kolkata Knight Riders,8,0,7,1.1666666666666667,6.857142857142857,8.0,7.0
A Zampa,Lucknow Super Giants,46,1,25,4.166666666666667,11.04,46.0,25.0
A Zampa,Mumbai Indians,120,4,74,12.333333333333334,9.72972972972973,30.0,18.5
A Zampa,Punjab Kings,80,4,71,11.833333333333334,6.76056338028169,20.0,17.75
A Zampa,Rajasthan Royals,75,1,43,7.166666666666667,10.465116279069766,75.0,43.0
A Zampa,Royal Challengers Bengaluru,60,4,48,8.0,7.5,15.0,12.0
A Zampa,Sunrisers Hyderabad,31,7,49,8.166666666666666,3.795918367346939,4.428571428571429,7.0
AA Chavan,Delhi Capitals,60,2,49,8.166666666666666,7.346938775510204,30.0,24.5
AA Chavan,Kolkata Knight Riders,83,3,66,11.0,7.545454545454546,27.666666666666668,22.0
AA Chavan,Mumbai Indians,93,1,85,14.166666666666666,6.564705882352942,93.0,85.0
AA Chavan,Other,30,0,19,3.1666666666666665,9.473684210526317,30.0,19.0
AA Chavan,Punjab Kings,60,2,36,6.0,10.0,30.0,18.0
AA Jhunjhunwala,Chennai Super Kings,31,1,30,5.0,6.2,31.0,30.0
AA Jhunjhunwala,Delhi Capitals,13,0,8,1.3333333333333333,9.75,13.0,8.0
AA Jhunjhunwala,Mumbai Indians,33,0,18,3.0,11.0,33.0,18.0
AA Jhunjhunwala,Punjab Kings,36,0,24,4.0,9.0,36.0,24.0
AA Jhunjhunwala,Sunrisers Hyderabad,16,0,8,1.3333333333333333,12.0,16.0,8.0
AA Kazi,Rajasthan Royals,21,0,13,2.1666666666666665,9.692307692307693,21.0,13.0
AA Noffke,Kolkata Knight Riders,40,1,25,4.166666666666667,9.6,40.0,25.0
AB Agarkar,Chennai Super Kings,170,2,123,20.5,8.292682926829269,85.0,61.5
AB Agarkar,Delhi Capitals,105,2,75,12.5,8.4,52.5,37.5
AB Agarkar,Kolkata Knight Riders,34,1,25,4.166666666666667,8.16,34.0,25.0
AB Agarkar,Mumbai Indians,167,5,132,22.0,7.590909090909091,33.4,26.4
AB Agarkar,Other,41,2,42,7.0,5.857142857142857,20.5,21.0
AB Agarkar,Punjab Kings,173,5,116,19.333333333333332,8.948275862068966,34.6,23.2
AB Agarkar,Rajasthan Royals,160,3,110,18.333333333333332,8.727272727272728,53.333333333333336,36.666666666666664
AB Agarkar,Royal Challengers Bengaluru,122,4,86,14.333333333333334,8.511627906976743,30.5,21.5
AB Agarkar,Sunrisers Hyderabad,179,5,111,18.5,9.675675675675675,35.8,22.2
AB Dinda,Chennai Super Kings,194,4,143,23.833333333333332,8.13986013986014,48.5,35.75
AB Dinda,Delhi Capitals,299,12,225,37.5,7.973333333333334,24.916666666666668,18.75
AB Dinda,Kolkata Knight Riders,105,1,71,11.833333333333334,8.873239436619718,105.0,71.0
AB Dinda,Mumbai Indians,382,13,284,47.333333333333336,8.070422535211268,29.384615384615383,21.846153846153847
AB Dinda,Other,82,4,52,8.666666666666666,9.461538461538462,20.5,13.0
AB Dinda,Punjab Kings,278,7,213,35.5,7.830985915492958,39.714285714285715,30.428571428571427
AB Dinda,Rajasthan Royals,226,5,196,32.666666666666664,6.918367346938776,45.2,39.2
AB Dinda,Royal Challengers Bengaluru,234,10,179,29.833333333333332,7.843575418994414,23.4,17.9
AB Dinda,Sunrisers Hyderabad,273,13,226,37.666666666666664,7.247787610619469,21.0,17.384615384615383
AB McDonald,Chennai Super Kings,23,0,12,2.0,11.5,23.0,12.0
AB McDonald,Delhi Capitals,28,2,24,4.0,7.0,14.0,12.0
